update,gameplay_rollouts,trade_rollouts,gameplay_reward,gameplay_reward_avg_logged,trade_reward,trade_reward_avg_logged,trade_propose,trade_accept,trade_reject,trade_counter,trade_skip,gameplay_reward_ma10,trade_reward_ma10,trade_propose_rate,trade_accept_rate,trade_reject_rate,trade_counter_rate,trade_skip_rate
130,96,128,0.0093,0.0162,-0.0055,-0.0006,7,4,1,91,25,0.0106,-0.00184,0.0546875,0.03125,0.0078125,0.7109375,0.1953125
131,90,135,0.0009,0.0155,-0.006,-0.0006,5,2,1,101,26,0.010499999999999999,-0.0025700000000000002,0.037037037037037035,0.014814814814814815,0.007407407407407408,0.7481481481481481,0.1925925925925926
132,50,190,0.0016,0.0151,-0.0075,-0.001,2,2,0,171,15,0.01031,-0.00349,0.010526315789473684,0.010526315789473684,0.0,0.9,0.07894736842105263
133,105,117,0.0039,0.0144,-0.0023,-0.0012,16,5,6,73,17,0.00923,-0.00377,0.13675213675213677,0.042735042735042736,0.05128205128205128,0.6239316239316239,0.1452991452991453
134,135,79,0.0088,0.015,0.0007,-0.0013,19,7,11,19,23,0.008650000000000001,-0.00394,0.24050632911392406,0.08860759493670886,0.13924050632911392,0.24050632911392406,0.2911392405063291
135,127,90,0.0123,0.0142,0.0016,-0.0013,20,14,4,34,18,0.00919,-0.0040100000000000005,0.2222222222222222,0.15555555555555556,0.044444444444444446,0.37777777777777777,0.2
136,100,122,0.0056,0.0135,-0.002,-0.0015,18,5,5,76,18,0.00832,-0.00385,0.14754098360655737,0.040983606557377046,0.040983606557377046,0.6229508196721312,0.14754098360655737
137,74,157,0.0051,0.0125,-0.0048,-0.0017,14,2,5,126,10,0.00808,-0.0037600000000000003,0.08917197452229299,0.012738853503184714,0.03184713375796178,0.802547770700637,0.06369426751592357
138,79,152,0.0243,0.0126,-0.0041,-0.002,18,8,7,112,7,0.00912,-0.00354,0.11842105263157894,0.05263157894736842,0.046052631578947366,0.7368421052631579,0.046052631578947366
139,113,103,0.0055,0.0123,-0.0003,-0.0021,25,6,20,39,13,0.007730000000000001,-0.0030199999999999997,0.24271844660194175,0.05825242718446602,0.1941747572815534,0.3786407766990291,0.1262135922330097
140,130,84,0.014,0.0094,0.001,-0.0021,26,9,16,16,17,0.0082,-0.0023699999999999997,0.30952380952380953,0.10714285714285714,0.19047619047619047,0.19047619047619047,0.20238095238095238
141,135,82,0.0209,0.0103,0.0027,-0.002,22,15,5,22,18,0.0102,-0.0015,0.2682926829268293,0.18292682926829268,0.06097560975609756,0.2682926829268293,0.21951219512195122
142,126,96,0.0085,0.0106,0.0015,-0.002,28,17,11,34,6,0.01089,-0.0006000000000000001,0.2916666666666667,0.17708333333333334,0.11458333333333333,0.3541666666666667,0.0625
143,82,150,0.0673,0.0132,-0.0039,-0.0023,20,11,4,112,3,0.017230000000000002,-0.0007599999999999999,0.13333333333333333,0.07333333333333333,0.02666666666666667,0.7466666666666667,0.02
144,42,197,0.01,0.013,-0.0051,-0.0026,15,7,5,167,3,0.017349999999999997,-0.0013399999999999998,0.07614213197969544,0.03553299492385787,0.025380710659898477,0.8477157360406091,0.015228426395939087
145,68,164,0.0051,0.0129,-0.0031,-0.0029,21,11,6,124,2,0.01663,-0.0018099999999999998,0.12804878048780488,0.06707317073170732,0.036585365853658534,0.7560975609756098,0.012195121951219513
146,122,95,0.0056,0.0125,0.0036,-0.0025,38,31,7,18,1,0.01663,-0.0012499999999999998,0.4,0.3263157894736842,0.07368421052631578,0.18947368421052632,0.010526315789473684
147,126,90,0.0072,0.0125,0.0039,-0.0021,36,34,3,15,2,0.01684,-0.00038,0.4,0.37777777777777777,0.03333333333333333,0.16666666666666666,0.022222222222222223
148,130,86,0.0138,0.0124,0.0055,-0.0015,38,32,5,7,4,0.01579,0.00058,0.4418604651162791,0.37209302325581395,0.05813953488372093,0.08139534883720931,0.046511627906976744
149,137,78,0.0259,0.0128,0.0051,-0.001,33,32,2,3,8,0.017830000000000002,0.00112,0.4230769230769231,0.41025641025641024,0.02564102564102564,0.038461538461538464,0.10256410256410256
150,126,91,0.0189,0.0133,0.0047,-0.0004,35,25,9,18,4,0.01832,0.00149,0.38461538461538464,0.27472527472527475,0.0989010989010989,0.1978021978021978,0.04395604395604396
